Ticker,Company,Sector,Current Price,Market Cap (Cr),PE Ratio,PB Ratio,Dividend Yield %,ROE %,Profit Margin %,Revenue Growth %,Earnings Growth %,Debt/Equity,RSI,Return 1M %,Return 3M %,Return 6M %,Return 1Y %,Volatility %,52W High,52W Low,Target Price,Upside %,Valuation Score,Growth Score,Combined Score,Recommendation,Beta,SMA_50,SMA_200
MARICO.NS,Marico,FMCG,830.0,107552.0,61.07,25.36,0.49,41.39,12.95,22.1,14.5,12.39,58.3,6.29,5.3,12.18,,17.56,848.8,680.3,895.4474,7.89,51,88.0,35.4,buy,0.17,781.02,748.32
BHEL.NS,Bharat Heavy Electricals,DEFENCE,417.75,145463.0,90.62,5.56,12.0,6.29,4.74,36.9,156.4,31.31,65.77,17.77,62.36,47.88,,34.45,420.95,205.12,332.15,-20.49,60,100.0,36.0,hold,0.86,327.04,273.07
WIPRO.NS,Wipro,IT,203.73,213665.0,16.22,2.38,8.22,15.49,14.25,7.7,-1.6,22.85,56.67,1.07,-2.92,-14.52,,23.07,273.1,186.5,209.775,2.97,30,54.8,36.1,hold,0.37,197.97,228.27
POWERGRID.NS,Power Grid,Energy,292.55,272089.0,14.55,2.71,4.15,16.49,34.08,-5.0,9.6,150.99,21.6,-8.29,-2.14,6.57,,19.67,324.95,250.0,328.8,12.39,28,50.2,36.7,buy,0.24,305.42,282.44
AXISBANK.NS,Axis Bank,Banking,1299.3,404031.0,15.39,1.88,8.0,13.15,35.41,-11.2,6.4,,51.71,0.8,-5.04,1.84,,23.47,1418.3,1042.5,1580.7,21.66,27,47.5,37.2,strong_buy,0.45,1272.87,1238.02
NMDC.NS,NMDC,Metals & Mining,90.67,79715.0,11.55,2.46,3.88,,24.88,15.9,-6.5,11.21,53.87,-0.25,13.15,27.09,,26.97,94.25,66.8,82.47368,-9.04,32,52.9,38.0,hold,0.68,85.49,77.72
TATACONSUM.NS,Tata Consumer,FMCG,1187.6,117521.0,76.37,5.78,0.84,6.94,7.6,17.9,21.5,12.16,60.51,4.35,3.58,1.23,,21.58,1282.7,1007.2,1347.8276,13.49,54,85.9,38.0,buy,0.41,1120.79,1128.65
BEL.NS,Bharat Electronics,DEFENCE,420.1,307084.0,50.55,12.8,1.03,27.56,21.96,11.7,4.5,0.27,38.17,-3.59,-4.37,1.33,,25.43,473.45,361.2,491.07144,16.89,44,69.9,38.4,buy,0.3,431.94,414.36
GODREJCP.NS,Godrej Consumer,FMCG,1031.8,105578.0,56.82,8.33,1.96,15.1,12.26,8.4,9.7,34.9,35.43,-5.04,-14.01,-7.44,,24.16,1309.0,967.05,1262.4166,22.35,44,68.9,38.8,buy,0.39,1046.51,1140.68
ASHOKLEY.NS,Ashok Leyland,Auto,160.54,94299.0,28.52,7.47,1.9,,6.15,23.6,6.6,327.89,41.22,-4.17,-23.13,10.95,,33.65,215.42,114.96,197.78789,23.2,47,73.6,38.8,buy,0.47,165.02,161.34
INDUSINDBK.NS,IndusInd Bank,Banking,932.3,72636.0,81.85,1.1,16.0,1.36,5.16,272.7,,,45.02,5.28,0.67,10.13,,28.27,968.85,710.6,877.3333,-5.9,44,68.4,39.0,hold,0.56,860.55,839.53
HAL.NS,Hindustan Aeronautics,DEFENCE,4427.7,296114.0,32.48,7.22,1.13,23.98,27.55,1.8,5.5,0.03,38.05,1.99,6.18,-2.84,,26.76,5147.0,3479.1,5157.4585,16.48,41,62.1,39.7,buy,0.55,4194.47,4385.69
IPCALAB.NS,IPCA Labs,Pharma,1578.0,40035.0,44.05,4.86,0.25,,9.57,6.6,23.6,14.43,52.27,2.67,8.84,9.72,,29.95,1678.3,1251.6,1658.6666,5.11,53,79.4,40.0,none,0.07,1536.44,1438.3
RELIANCE.NS,Reliance Industries,Energy,1356.3,1835409.0,22.7,2.03,0.4,9.14,7.64,12.5,-12.6,36.65,29.23,-2.35,-4.45,-12.3,,19.94,1611.8,1290.0,1696.625,25.09,36,48.1,42.3,strong_buy,0.24,1374.09,1429.56
VBL.NS,Varun Beverages,FMCG,531.3,179701.0,56.58,9.18,0.38,,14.02,18.1,20.0,12.71,62.61,2.56,17.32,18.95,,28.89,543.95,381.0,587.2308,10.53,60,82.5,43.0,strong_buy,0.27,463.42,468.85
COLPAL.NS,Colgate-Palmolive,FMCG,2077.1,56494.0,42.69,35.66,2.29,81.59,21.96,9.1,-0.5,2.99,36.86,-2.26,-5.5,-4.75,,22.72,2519.0,1782.0,2246.4814,8.15,47,62.8,43.1,hold,0.56,2034.82,2153.13
KOTAKBANK.NS,Kotak Mahindra Bank,Banking,388.65,386569.0,20.02,2.13,13.0,11.39,26.05,-11.0,9.8,,60.96,2.83,-7.76,-6.92,,21.17,453.2,345.5,461.12222,18.65,41,52.5,43.6,buy,0.31,375.25,406.55
DIVISLAB.NS,Divi's Labs,Pharma,6753.0,179271.0,69.89,11.62,0.44,16.19,24.32,9.5,13.6,0.04,52.87,4.26,7.23,4.5,,21.78,7071.5,5636.5,7040.0,4.25,57,74.0,44.6,hold,0.22,6357.65,6306.31
AUROPHARMA.NS,Aurobindo Pharma,Pharma,1461.2,84074.0,24.2,2.24,0.27,9.93,10.41,5.6,1.9,21.31,44.18,2.71,26.1,20.99,,26.15,1550.0,1016.1,1489.8572,1.96,47,57.4,45.2,buy,0.03,1391.55,1207.89
ALKEM.NS,Alkem Labs,Pharma,5380.0,64326.0,27.14,4.82,0.94,,16.64,10.7,1.6,17.06,36.04,-0.71,-0.22,-4.85,,22.29,5933.5,4716.2,5959.1,10.76,41,48.2,45.3,buy,0.29,5413.83,5473.29
BEML.NS,BEML,DEFENCE,1844.7,15364.0,61.68,5.49,0.72,,5.92,23.7,,23.79,45.25,0.15,8.1,-2.97,,40.08,2437.4,1355.0,2042.6666,10.73,54,67.0,45.6,none,0.76,1701.59,1859.96
NTPC.NS,NTPC,Energy,389.7,377879.0,12.81,1.86,2.91,13.69,14.44,8.0,-1.6,118.13,43.95,-4.22,4.49,20.2,,17.81,414.4,315.55,434.8889,11.6,41,46.0,46.2,strong_buy,0.32,388.27,349.94
MOIL.NS,MOIL,Metals & Mining,301.6,6137.0,21.11,2.27,4.66,10.01,18.16,2.6,-19.9,,40.96,-9.16,1.14,-6.42,,40.83,405.6,242.35,371.66666,23.23,37,33.2,48.9,none,0.4,303.24,328.88
NATIONALUM.NS,National Aluminium,Metals & Mining,416.2,76441.0,12.44,3.54,1.99,29.42,31.32,1.0,-16.7,0.28,57.02,-5.26,22.59,68.94,,37.0,445.15,176.34,402.36365,-3.32,40,37.0,49.2,hold,0.6,403.54,302.45
LTTS.NS,L&T Technology,IT,3540.7,37556.0,30.63,5.8,1.64,19.54,11.63,-4.2,6.7,8.91,35.66,0.4,5.42,-16.05,,32.33,4726.0,3010.0,3658.8276,3.34,55,57.2,50.1,hold,0.09,3426.49,3903.45
ITC.NS,ITC,FMCG,301.65,377951.0,18.28,5.21,5.26,29.34,26.23,-5.0,-72.7,3.29,36.63,-0.92,-7.75,-24.49,,18.84,444.2,287.0,352.625,16.9,36,15.1,55.6,hold,-0.02,303.59,356.34
HINDALCO.NS,Hindalco,Metals & Mining,1103.8,246827.0,18.35,1.82,0.45,10.29,4.87,20.4,-50.9,72.6,61.53,2.75,17.97,41.93,,26.45,1119.8,618.0,1105.4615,0.15,50,35.4,55.8,hold,0.82,1001.09,872.4
DLF.NS,DLF,Real Estate,589.8,145994.0,33.08,3.21,1.01,10.03,53.88,-42.0,-1.1,0.67,41.75,0.32,-6.28,-18.69,,27.41,886.8,489.4,821.9091,39.35,48,29.9,56.8,strong_buy,0.34,570.58,674.14
TORNTPHARM.NS,Torrent Pharma,Pharma,4452.1,150679.0,69.54,17.85,0.83,16.98,15.47,41.8,-21.8,85.44,55.43,6.44,4.96,21.6,,20.08,4712.9,3102.0,4829.1113,8.47,65,51.3,58.5,buy,0.14,4262.49,3900.14
BRIGADE.NS,Brigade Enterprises,Real Estate,672.45,16450.0,2490.56,2.41,0.37,10.79,11.31,-0.2,-42.4,84.32,15.5,-16.01,-9.21,-25.18,,32.07,1332.0,601.0,1009.6,50.14,49,19.1,61.8,strong_buy,0.24,716.35,840.3
LT.NS,Larsen & Toubro,DEFENCE,4037.8,555467.0,34.52,5.08,0.94,16.95,5.51,11.7,-34.5,97.64,57.08,0.98,-6.93,1.3,,24.33,4440.0,3288.1,4493.8066,11.29,64,41.2,61.9,buy,0.49,3821.72,3849.69
RAYMOND.NS,Raymond,Real Estate,551.85,3673.0,108.42,1.13,0.0,1.47,231.04,,-99.1,33.84,59.16,16.95,38.46,11.26,,43.47,783.9,320.0,655.0,18.69,51,16.4,64.0,none,0.36,431.47,486.33
IDFCFIRSTB.NS,IDFC First Bank,Banking,70.22,60466.0,37.35,1.29,0.36,,32.78,-1.1,-23.2,,53.24,2.2,-15.91,-10.35,,31.55,87.0,58.08,75.05556,6.89,56,23.8,64.1,none,,66.36,74.54
COCHINSHIP.NS,Cochin Shipyard,DEFENCE,1526.2,40151.0,56.07,7.04,0.87,12.52,14.27,-15.6,-3.8,28.47,27.72,-9.99,0.57,-9.87,,39.65,2545.0,1187.0,1261.5,-17.34,72,35.5,69.0,underperform,0.7,1514.91,1617.23
CIPLA.NS,Cipla,Pharma,1417.5,114506.0,29.57,3.48,0.92,11.74,14.0,-3.8,-54.6,1.78,59.58,8.5,5.7,-6.24,,20.94,1673.0,1165.7,1459.5676,2.97,61,16.5,70.0,buy,0.09,1295.43,1436.02
TATAPOWER.NS,Tata Power,Energy,420.95,134508.0,35.98,3.55,0.6,11.34,6.0,-12.8,-4.6,167.81,35.03,-8.85,11.36,8.77,,21.05,464.9,342.5,432.77466,2.81,76,36.6,71.0,buy,0.37,414.3,390.62
DRREDDY.NS,Dr. Reddy's,Pharma,1327.9,110560.0,26.38,2.94,0.6,11.83,12.76,-11.6,-86.2,20.33,54.64,-1.97,3.71,6.75,,23.14,1379.7,1148.4,1331.7726,0.29,61,10.3,72.5,hold,0.29,1279.2,1261.29
TMPV.NS,Tata Motors PV,Auto,385.6,141995.0,7.17,1.28,1.61,-1.12,24.55,-11.8,-32.9,65.31,67.36,8.82,2.64,6.86,,31.77,419.0,294.3,377.07407,-2.21,55,0.0,73.0,hold,0.78,338.96,
BIOCON.NS,Biocon,Pharma,436.15,70627.0,153.57,2.04,12.0,1.15,2.28,2.3,-72.5,42.15,88.44,20.22,13.6,9.9,,26.06,440.4,327.6,416.55,-4.49,72,18.2,75.9,buy,0.23,378.18,375.79
BDL.NS,Bharat Dynamics,DEFENCE,1329.9,48749.0,84.28,11.56,0.39,,15.51,-31.9,-50.4,0.03,38.53,-4.78,1.49,-11.77,,38.73,2096.6,1086.0,1520.1666,14.31,66,0.0,79.6,none,0.34,1319.57,1427.03
